"SNP" "traits" "Plot"
"79" "SS06_83112789" "FarmCPU.FHBDON" "C07_SAL_2020"
"80" "SS06_329485557" "FarmCPU.FHBDON" "C07_SAL_2020"
"81" "SV07_202019831" "FarmCPU.FHBDON" "C07_SAL_2020"
"82" "SJ01_54110313" "FarmCPU.STMANG" "C07_SAL_2020"
"83" "SJ07_38100803" "FarmCPU.STMANG" "C07_SAL_2020"
"84" "SS02_443036385" "FarmCPU.STMANG" "C07_SAL_2020"
"85" "SS06_325276373" "FarmCPU.STMANG" "C07_SAL_2020"
"86" "SV03_334163944" "FarmCPU.STMANG" "C07_SAL_2020"
"87" "SJ03_84673435" "FarmCPU.HSATIVLSEV" "C07_SAL_2020"
"88" "SJ04_507780718" "FarmCPU.HSATIVLSEV" "C07_SAL_2020"
"89" "SJ05_478511163" "FarmCPU.HSATIVLSEV" "C07_SAL_2020"
"90" "SJ06_541253677" "FarmCPU.HSATIVLSEV" "C07_SAL_2020"
"91" "SV04_397784395" "FarmCPU.HSATIVLSEV" "C07_SAL_2020"
"92" "SV07_222819554" "FarmCPU.HSATIVLSEV" "C07_SAL_2020"
"93" "SJ01_438678296" "FarmCPU.ERGSEV" "C07_SAL_2020"
"94" "SJ03_35771049" "FarmCPU.ERGSEV" "C07_SAL_2020"
"95" "SJ06_341989312" "FarmCPU.ERGSEV" "C07_SAL_2020"
"96" "SJ07_5992523" "FarmCPU.ERGSEV" "C07_SAL_2020"
"97" "SJ07_667035453" "FarmCPU.ERGSEV" "C07_SAL_2020"
"98" "SS02_337893034" "FarmCPU.ERGSEV" "C07_SAL_2020"
"99" "SS06_146499812" "FarmCPU.ERGSEV" "C07_SAL_2020"
"100" "SS07_414474582" "FarmCPU.ERGSEV" "C07_SAL_2020"
"101" "SS07_414489769" "FarmCPU.ERGSEV" "C07_SAL_2020"
"102" "SS07_416230590" "FarmCPU.ERGSEV" "C07_SAL_2020"
"103" "SS07_428669333" "FarmCPU.ERGSEV" "C07_SAL_2020"
"104" "SV01_25473197" "FarmCPU.ERGSEV" "C07_SAL_2020"
"105" "SV01_37474372" "FarmCPU.ERGSEV" "C07_SAL_2020"
"106" "SV03_294791114" "FarmCPU.ERGSEV" "C07_SAL_2020"
"107" "SV03_403974348" "FarmCPU.ERGSEV" "C07_SAL_2020"
"108" "SV06_66877427" "FarmCPU.ERGSEV" "C07_SAL_2020"
"109" "SJ01_535344826" "FarmCPU.SPKHD" "C07_SAL_2020"
"110" "SJ04_443970274" "FarmCPU.SPKHD" "C07_SAL_2020"
"111" "SJ06_182383764" "FarmCPU.SPKHD" "C07_SAL_2020"
"112" "SJ06_233909510" "FarmCPU.SPKHD" "C07_SAL_2020"
"113" "SS02_60814509" "FarmCPU.SPKHD" "C07_SAL_2020"
"114" "SS07_431676369" "FarmCPU.SPKHD" "C07_SAL_2020"
"115" "SV03_342354337" "FarmCPU.SPKHD" "C07_SAL_2020"
"116" "SJ05_317782015" "FarmCPU.HDANG" "C07_SAL_2020"
"117" "SJ05_552460009" "FarmCPU.FHBZEA" "C10_SAL_2022"
"210" "SS03_165935726" "FarmCPU.FHBZEA" "C10_SAL_2022"
"310" "SS03_316869342" "FarmCPU.FHBZEA" "C10_SAL_2022"
"410" "SS03_316869348" "FarmCPU.FHBZEA" "C10_SAL_2022"
"510" "SS03_343702896" "FarmCPU.FHBZEA" "C10_SAL_2022"
"610" "SS07_61086311" "FarmCPU.FHBZEA" "C10_SAL_2022"
"710" "SS07_65302073" "FarmCPU.FHBZEA" "C10_SAL_2022"
"810" "SS07_65547475" "FarmCPU.FHBZEA" "C10_SAL_2022"
"910" "SS07_67144799" "FarmCPU.FHBZEA" "C10_SAL_2022"
"1010" "SV03_110712558" "FarmCPU.FHBZEA" "C10_SAL_2022"
"118" "SV05_45545812" "FarmCPU.FHBZEA" "C10_SAL_2022"
"121" "SJ02_517769933" "FarmCPU.FHBDON" "C10_SAL_2022"
"131" "SJ05_552460009" "FarmCPU.FHBDON" "C10_SAL_2022"
"141" "SJ07_421470788" "FarmCPU.FHBDON" "C10_SAL_2022"
"151" "SJ07_603983512" "FarmCPU.FHBDON" "C10_SAL_2022"
"161" "SS02_486726932" "FarmCPU.FHBDON" "C10_SAL_2022"
"171" "SS07_301996644" "FarmCPU.FHBDON" "C10_SAL_2022"
"181" "SV02_452036252" "FarmCPU.FHBDON" "C10_SAL_2022"
"191" "SV05_550625854" "FarmCPU.FHBDON" "C10_SAL_2022"
"201" "SV05_564391501" "FarmCPU.FHBDON" "C10_SAL_2022"
"211" "SV05_570894065" "FarmCPU.FHBDON" "C10_SAL_2022"
"221" "SV05_574080626" "FarmCPU.FHBDON" "C10_SAL_2022"
"231" "SS05_501885161" "FarmCPU.ZDK" "C10_SAL_2022"
"241" "SV01_8751581" "FarmCPU.ZDK" "C10_SAL_2022"
"251" "SV02_80918909" "FarmCPU.ZDK" "C10_SAL_2022"
"261" "SJ07_676779696" "FarmCPU.BLSSEV" "C10_SAL_2022"
"271" "SS01_373032805" "FarmCPU.BLSSEV" "C10_SAL_2022"
"281" "SS03_457292509" "FarmCPU.BLSSEV" "C10_SAL_2022"
"291" "SS07_67144799" "FarmCPU.BLSSEV" "C10_SAL_2022"
"301" "SV07_77346874" "FarmCPU.BLSSEV" "C10_SAL_2022"
"311" "SJ03_497263053" "FarmCPU.HSATIVLSEV" "C10_SAL_2022"
"321" "SJ04_511030438" "FarmCPU.HSATIVLSEV" "C10_SAL_2022"
"331" "SS03_24005972" "FarmCPU.HSATIVLSEV" "C10_SAL_2022"
"341" "SS04_79130992" "FarmCPU.HSATIVLSEV" "C10_SAL_2022"
"351" "SS05_134093949" "FarmCPU.HSATIVLSEV" "C10_SAL_2022"
"361" "SS07_39851932" "FarmCPU.HSATIVLSEV" "C10_SAL_2022"
"371" "SV05_523243129" "FarmCPU.HSATIVLSEV" "C10_SAL_2022"
"381" "SV06_385396770" "FarmCPU.HSATIVLSEV" "C10_SAL_2022"
"391" "SV07_722317269" "FarmCPU.HSATIVLSEV" "C10_SAL_2022"
"401" "SJ02_550994220" "FarmCPU.FHBZEA" "C10_OLA_2022"
"411" "SS03_451590681" "FarmCPU.FHBZEA" "C10_OLA_2022"
"421" "SS04_336690977" "FarmCPU.FHBZEA" "C10_OLA_2022"
"431" "SS06_32856422" "FarmCPU.FHBZEA" "C10_OLA_2022"
"441" "SV06_429405425" "FarmCPU.FHBZEA" "C10_OLA_2022"
"451" "SJ02_537945840" "FarmCPU.FHBDON" "C10_OLA_2022"
"461" "SS01_333518696" "FarmCPU.FHBDON" "C10_OLA_2022"
"471" "SS01_338632504" "FarmCPU.FHBDON" "C10_OLA_2022"
"481" "SS03_383088528" "FarmCPU.FHBDON" "C10_OLA_2022"
"491" "SS03_447957443" "FarmCPU.FHBDON" "C10_OLA_2022"
"501" "SV03_259924662" "FarmCPU.FHBDON" "C10_OLA_2022"
"511" "SJ07_668224534" "FarmCPU.FHBSPKINC" "C10_OLA_2022"
"521" "SV02_548956709" "FarmCPU.FHBSPKINC" "C10_OLA_2022"
"531" "SV06_12880934" "FarmCPU.FHBSPKINC" "C10_OLA_2022"
"541" "SV06_433049091" "FarmCPU.FHBSPKINC" "C10_OLA_2022"
"551" "SS01_260252102" "FarmCPU.PTHT" "C10_OLA_2022"
"561" "SV01_24192893" "FarmCPU.PTHT" "C10_OLA_2022"
"571" "SV01_530680062" "FarmCPU.PTHT" "C10_OLA_2022"
"581" "SV06_388713790" "FarmCPU.PTHT" "C10_OLA_2022"
"591" "SJ03_611922552" "FarmCPU.ZDK" "C10_OLA_2022"
"601" "SJ05_103986355" "FarmCPU.ZDK" "C10_OLA_2022"
"611" "SV01_501741056" "FarmCPU.ZDK" "C10_OLA_2022"
"621" "SJ05_389593959" "FarmCPU.BLSSEV" "C10_OLA_2022"
"631" "SS04_283559355" "FarmCPU.BLSSEV" "C10_OLA_2022"
"641" "SV06_142550878" "FarmCPU.BLSSEV" "C10_OLA_2022"
"651" "SJ05_303741566" "FarmCPU.HSATIVLSEV" "C10_OLA_2022"
"661" "SS05_120261602" "FarmCPU.HSATIVLSEV" "C10_OLA_2022"
